drugbank_id,gene_symbol
DB00133,SDS
DB00133,SRR
DB00133,SPTLC2
DB00133,SPTLC1
DB00133,SARS
DB00133,AGXT
DB00134,MTRR
DB00134,MTR
DB00134,METAP2
DB00134,BHMT
DB00134,BHMT2
DB00134,GLUL
DB00134,MTHFR
DB00134,MAT2A
DB00134,MSRB2
DB00134,MAT1A
DB00134,SEPX1
DB00134,MSRA
DB00134,MARS
DB00134,MARS2
DB00134,MAT2B
DB00135,TH
DB00135,YARS2
DB00135,YARS
DB00135,TAT
DB00135,SLC16A2
DB00136,VDR
DB00136,GC
DB00136,CYP24A1
DB00136,CYP3A4
DB00137,ALB
DB00138,SLC7A11
DB00138,CTNS
DB00138,SLC7A9
DB00138,SLC3A1
DB00139,SDHC
DB00139,SUCNR1
DB00139,OXCT2
DB00139,TMLHE
DB00139,SUCLA2
DB00139,SLC25A10
DB00139,SDHA
DB00139,HSD17B6
DB00139,SLC13A3
DB00139,SLC13A2
DB00139,SLC13A1
DB00139,SUCLG2
DB00139,SDHD
DB00139,P4HA2
DB00139,PLOD3
DB00139,BBOX1
DB00139,P4HA1
DB00139,SDHB
DB00139,ALDH5A1
DB00139,SUCLG1
DB00139,OXCT1
DB00139,PLOD1
DB00139,ASPH
DB00139,LEPRE1
DB00139,LEPREL1
DB00139,LEPREL2
DB00140,RFK
DB00140,BLVRB
DB00140,MAOA
DB00140,MTHFR
DB00140,hROAT1
DB00141,B4GALT3
DB00141,B4GALT4
DB00141,B4GALT2
DB00141,NAGK
DB00141,NAGPA
DB00141,NAGLU
DB00141,RENBP
DB00141,B4GALT1
DB00142,GRM1
DB00142,GRM4
DB00142,GRIK4
DB00142,GRIK5
DB00142,GRM7
DB00142,GRM8
DB00142,SLC1A7
DB00142,OPLAH
DB00142,PFAS
DB00142,BCAT2
DB00142,GRIN2D
DB00142,GRID2
DB00142,GRIN3B
DB00142,PET112L
DB00142,GLS
DB00142,GOT2
DB00142,EPRS
DB00142,ASNS
DB00142,GLUL
DB00142,GOT1
